DateTime,Roll,Pitch,Yaw,X,Y,Z
2021-09-20 11:53:01.610775,0.18,-4.49,-25.47,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.18,-4.48,-25.47,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.47,-25.47,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.47,-25.47,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.46,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.22,-4.45,-25.45,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.45,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.47,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.47,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.48,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.48,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.49,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.49,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.49,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.5,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.5,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.18,-4.5,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.18,-4.5,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.17,-4.5,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.17,-4.5,-25.47,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.18,-4.49,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.19,-4.49,-25.46,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.2,-4.48,-25.45,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.47,-25.44,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.44,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.46,-25.44,0.07,0.0,1.02
2021-09-20 11:53:01.610775,0.21,-4.45,-25.44,0.07,0.0,1.02
2021-09-20 11:53:01.610775,0.22,-4.45,-25.43,0.07,0.0,1.02
2021-09-20 11:53:01.610775,0.22,-4.44,-25.43,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.22,-4.44,-25.43,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.22,-4.43,-25.43,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.23,-4.43,-25.43,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.24,-4.43,-25.42,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.24,-4.43,-25.42,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.25,-4.43,-25.42,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.44,-25.42,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.44,-25.42,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.45,-25.42,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.46,-25.42,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.47,-25.43,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.25,-4.48,-25.43,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.49,-25.43,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.49,-25.43,0.08,0.01,1.02
2021-09-20 11:53:01.610775,0.26,-4.5,-25.43,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.26,-4.5,-25.43,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.25,-4.51,-25.44,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.25,-4.51,-25.44,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.24,-4.52,-25.44,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.24,-4.52,-25.44,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.23,-4.52,-25.45,0.08,0.0,1.02
2021-09-20 11:53:01.610775,0.22,-4.52,-25.45,0.08,0.0,1.02
